Iteration, eigenvalue, x_factor, lambda_factor, norm_x_change, gradient_lambda
 26801, -0.0649486, -0.0610212, -0.0039274, 0.0000541, 0.0027883
 26901, -0.0710846, -0.0610828, -0.0100018, 0.0000531, 0.0072215
 27001, -0.0769941, -0.0611576, -0.0158365, 0.0000525, 0.0115726
 27101, -0.0827126, -0.0612412, -0.0214714, 0.0000520, 0.0158560
 27201, -0.0882616, -0.0613317, -0.0269298, 0.0000515, 0.0200804
 27301, -0.0936511, -0.0614288, -0.0322223, 0.0000510, 0.0242496
 27401, -0.0988870, -0.0615319, -0.0373550, 0.0000506, 0.0283655
 27501, -0.1039738, -0.0616412, -0.0423326, 0.0000502, 0.0324295
 27601, -0.1089153, -0.0617563, -0.0471590, 0.0000499, 0.0364426
 27701, -0.1137151, -0.0618771, -0.0518380, 0.0000495, 0.0404062
 27801, -0.1183766, -0.0620034, -0.0563732, 0.0000493, 0.0443215
 27901, -0.1229030, -0.0621351, -0.0607679, 0.0000490, 0.0481895
 28001, -0.1272974, -0.0622720, -0.0650254, 0.0000488, 0.0520115
 28101, -0.1315628, -0.0624139, -0.0691489, 0.0000486, 0.0557887
 28201, -0.1357020, -0.0625607, -0.0731413, 0.0000484, 0.0595223
 28301, -0.1397178, -0.0627121, -0.0770056, 0.0000483, 0.0632134
 28401, -0.1436129, -0.0628682, -0.0807447, 0.0000482, 0.0668632
 28501, -0.1473899, -0.0630286, -0.0843613, 0.0000481, 0.0704728
 28601, -0.1510514, -0.0631934, -0.0878581, 0.0000480, 0.0740433
 28701, -0.1545999, -0.0633623, -0.0912376, 0.0000479, 0.0775758
 28801, -0.1580376, -0.0635352, -0.0945024, 0.0000479, 0.0810715
 28901, -0.1613670, -0.0637120, -0.0976550, 0.0000479, 0.0845314
 29001, -0.1645903, -0.0638926, -0.1006977, 0.0000479, 0.0879565
 29101, -0.1677099, -0.0640770, -0.1036329, 0.0000480, 0.0913480
 29201, -0.1707277, -0.0642650, -0.1064627, 0.0000480, 0.0947069
 29301, -0.1736460, -0.0644564, -0.1091895, 0.0000481, 0.0980343
 29401, -0.1764667, -0.0646514, -0.1118154, 0.0000482, 0.1013311
 29501, -0.1791920, -0.0648496, -0.1143424, 0.0000483, 0.1045984
 29601, -0.1818237, -0.0650512, -0.1167725, 0.0000484, 0.1078372
 29701, -0.1843637, -0.0652559, -0.1191077, 0.0000485, 0.1110484
 29801, -0.1868139, -0.0654638, -0.1213500, 0.0000487, 0.1142332
 29901, -0.1891761, -0.0656749, -0.1235013, 0.0000489, 0.1173924
 30001, -0.1914521, -0.0658889, -0.1255632, 0.0000491, 0.1205272
 30101, -0.1936436, -0.0661059, -0.1275377, 0.0000493, 0.1236383
 30201, -0.1957523, -0.0663259, -0.1294264, 0.0000495, 0.1267269
 30301, -0.1977798, -0.0665488, -0.1312310, 0.0000497, 0.1297938
 30401, -0.1997277, -0.0667746, -0.1329531, 0.0000500, 0.1328400
 30501, -0.2015974, -0.0670031, -0.1345943, 0.0000503, 0.1358665
 30601, -0.2033907, -0.0672345, -0.1361561, 0.0000505, 0.1388742
 30701, -0.2051089, -0.0674687, -0.1376402, 0.0000509, 0.1418641
 30801, -0.2067535, -0.0677057, -0.1390478, 0.0000512, 0.1448372
 30901, -0.2083259, -0.0679454, -0.1403805, 0.0000515, 0.1477943
 31001, -0.2098275, -0.0681878, -0.1416397, 0.0000518, 0.1507365
 31101, -0.2112596, -0.0684330, -0.1428266, 0.0000522, 0.1536648
 31201, -0.2126235, -0.0686809, -0.1439426, 0.0000526, 0.1565799
 31301, -0.2139207, -0.0689316, -0.1449890, 0.0000530, 0.1594831
 31401, -0.2151523, -0.0691851, -0.1459672, 0.0000534, 0.1623753
 31501, -0.2163195, -0.0694413, -0.1468781, 0.0000538, 0.1652573
 31601, -0.2174235, -0.0697004, -0.1477231, 0.0000543, 0.1681303
 31701, -0.2184655, -0.0699622, -0.1485033, 0.0000547, 0.1709953
 31801, -0.2194467, -0.0702269, -0.1492198, 0.0000552, 0.1738532
 31901, -0.2203683, -0.0704945, -0.1498738, 0.0000557, 0.1767051
 32001, -0.2212311, -0.0707650, -0.1504662, 0.0000562, 0.1795521
 32101, -0.2220365, -0.0710384, -0.1509981, 0.0000567, 0.1823952
 32201, -0.2227853, -0.0713148, -0.1514705, 0.0000573, 0.1852356
 32301, -0.2234787, -0.0715943, -0.1518844, 0.0000578, 0.1880742
 32401, -0.2241176, -0.0718769, -0.1522407, 0.0000584, 0.1909123
 32501, -0.2247029, -0.0721627, -0.1525402, 0.0000590, 0.1937508
 32601, -0.2252356, -0.0724517, -0.1527839, 0.0000596, 0.1965911
 32701, -0.2257166, -0.0727440, -0.1529726, 0.0000602, 0.1994341
 32801, -0.2261468, -0.0730396, -0.1531072, 0.0000609, 0.2022813
 32901, -0.2265270, -0.0733387, -0.1531883, 0.0000616, 0.2051336
 33001, -0.2268580, -0.0736413, -0.1532167, 0.0000623, 0.2079924
 33101, -0.2271407, -0.0739475, -0.1531932, 0.0000630, 0.2108591
 33201, -0.2273760, -0.0742574, -0.1531186, 0.0000638, 0.2137348
 33301, -0.2275645, -0.0745712, -0.1529934, 0.0000645, 0.2166211
 33401, -0.2277073, -0.0748889, -0.1528184, 0.0000653, 0.2195194
 33501, -0.2278049, -0.0752106, -0.1525943, 0.0000662, 0.2224313
 33601, -0.2278584, -0.0755366, -0.1523218, 0.0000670, 0.2253584
 33701, -0.2278687, -0.0758670, -0.1520016, 0.0000679, 0.2283025
 33801, -0.2278364, -0.0762020, -0.1516344, 0.0000689, 0.2312654
 33901, -0.2277627, -0.0765418, -0.1512209, 0.0000698, 0.2342492
 34001, -0.2276484, -0.0768865, -0.1507619, 0.0000708, 0.2372560
 34101, -0.2274946, -0.0772366, -0.1502580, 0.0000719, 0.2402881
 34201, -0.2273023, -0.0775922, -0.1497101, 0.0000731, 0.2433482
 34301, -0.2270726, -0.0779537, -0.1491189, 0.0000743, 0.2464389
 34401, -0.2268067, -0.0783214, -0.1484852, 0.0000755, 0.2495631
 34501, -0.2265056, -0.0786957, -0.1478099, 0.0000768, 0.2527239
 34601, -0.2261709, -0.0790771, -0.1470938, 0.0000783, 0.2559252
 34701, -0.2258037, -0.0794659, -0.1463378, 0.0000797, 0.2591703
